Type,Instances,ExamplePaths(semi-colon separated)
UniversalAdditionalLightData,13,"Bike/bike_lights/SpotLights/Spot Light (badge) | Bike/bike_lights/SpotLights/Spot Light (bike)/Spot Light Standard (bike_boost) | Bike/bike_lights/SpotLights/Spot Light (bike) | Room Variant/ExtraLights/Area Light (Window) | Room Variant/ExtraLights/Area Light (Ceiling_Flipped) | Room Variant/ExtraLights/Area Light (Ceiling)"
UniversalAdditionalCameraData,9,"CameraPositions_iPhone11_portrait/Pos6_Video | CameraPositions_iPhone11_portrait/Pos5_Mannequin | CameraPositions_iPhone11_portrait/Pos4_Badge | CameraPositions_iPhone11_portrait/Pos3_Seat | CameraPositions_iPhone11_portrait/Pos2_Tank | Cornea Camera_NewPosition/Camera"
ConfiguratorSettings,8,"CameraPositions_iPhone11_portrait/Pos6_Video | CameraPositions_iPhone11_portrait/Pos5_Mannequin | CameraPositions_iPhone11_portrait/Pos4_Badge | CameraPositions_iPhone11_portrait/Pos3_Seat | CameraPositions_iPhone11_portrait/Pos2_Tank | CameraPositions_iPhone11_portrait/Pos1_BikeView"
Image,5,"FPS_Counter (REMOVE IN FINAL BUILD)/Canvas/GRID/Image (2) | FPS_Counter (REMOVE IN FINAL BUILD)/Canvas/GRID/Image | FPS_Counter (REMOVE IN FINAL BUILD)/Canvas/GRID/Image (1) | FPS_Counter (REMOVE IN FINAL BUILD)/Canvas/GRID/Image | FPS_Counter (REMOVE IN FINAL BUILD)/Canvas/BG"
Volume,3,"Room Variant/Global Volume_PP | Post-Processing/Global URP Volume | Global Volume"
TextMeshProUGUI,3,"FPS_Counter (REMOVE IN FINAL BUILD)/Canvas/BG/Memory | FPS_Counter (REMOVE IN FINAL BUILD)/Canvas/BG/DrawCalls | FPS_Counter (REMOVE IN FINAL BUILD)/Canvas/BG/FPS"
BeamGeometrySD,2,"Room Variant/Lights/Spot Light (mannequin)/Beam Geometry | Bike/bike_lights/SpotLights/Spot Light (bike)/Beam Geometry"
VolumetricDustParticles,2,"Bike/bike_lights/SpotLights/Spot Light (bike) | Room Variant/Lights/Spot Light (mannequin)"
VolumetricLightBeamSD,2,"Bike/bike_lights/SpotLights/Spot Light (bike) | Room Variant/Lights/Spot Light (mannequin)"
ScreensManager,2,"UIMobile | UIDesktop"
HomeScreen,2,"UIMobile | UIDesktop"
UIDocument,2,"UIMobile | UIDesktop"
GraphicRaycaster,1,"FPS_Counter (REMOVE IN FINAL BUILD)/Canvas"
CanvasScaler,1,"FPS_Counter (REMOVE IN FINAL BUILD)/Canvas"
MemoryStatsDisplay,1,"FPS_Counter (REMOVE IN FINAL BUILD)"
RenderStats,1,"FPS_Counter (REMOVE IN FINAL BUILD)"
FPSCounter,1,"FPS_Counter (REMOVE IN FINAL BUILD)"
CorneaCameraDirector,1,"Cornea Camera_NewPosition/Camera"
CCD_Shake,1,"Cornea Camera_NewPosition/Camera"
CCD_Handheld,1,"Cornea Camera_NewPosition/Camera"
CCD_Lerp,1,"Cornea Camera_NewPosition/Camera"
CCD_Warp,1,"Cornea Camera_NewPosition/Camera"
ScreenshotHandler,1,"UIDesktop"
EnableLocation,1,"Cornea Camera_NewPosition/Camera"
CameraController,1,"Cornea Camera_NewPosition/Camera"
DecalProjector,1,"Decals/Decal_BikeFloorHIghlight"
DecalController,1,"Decals/Decal_BikeFloorHIghlight"
StandaloneInputModule,1,"EventSystem"
EventSystem,1,"EventSystem"
EventKeepSelected,1,"EventSystem"
RawImage,1,"Video_Panel/Video Plane"
CursorManager,1,"CursorManager"
LB_LightingBoxHelper,1,"Post-Processing/LightingBox_Helper"
DeviceDetection,1,"Device Detection"
